295 181023 378 51 16 84293 222 138644 366 93692 247 93524 247
296 181024 391 59 13 87971 224 161773 413 116086 296 113506 290
297 181025 382 54 3 115053 301 139217 364 61554 161 73282 191
298 181026 381 45 2 118130 310 131593 345 51570 135 80097 210
299 181027 246 53 0 133488 542 123022 500 22622 91 38633 157
300 181028 313 56 2 130740 417 133296 425 42335 135 60049 191
301 181029 352 44 1 113640 322 127052 360 51261 145 67431 191
302 181030 341 41 1 99407 291 109299 320 41054 120 75945 222
303 181031 355 28 1 78174 220 91745 258 47387 133 64897 182
304 181101 366 34 3 86805 237 106016 289 48903 133 73194 199
305 181102 345 26 0 86334 250 91139 264 31665 91 55829 161
306 181103 217 15 0 91253 420 89853 414 21760 100 42129 194
307 181104 322 29 1 93840 291 93440 290 26148 81 52769 163
308 181105 369 47 2 117098 317 137522 372 50035 135 74918 203
309 181106 367 23 0 79062 215 86059 234 37178 101 60738 165
310 181107 372 56 3 120020 322 147263 395 53663 144 67916 182
311 181108 373 38 1 98882 265 101441 271 34599 92 59009 158
312 181109 372 32 0 100974 271 110393 296 37690 101 55612 149
313 181110 188 21 2 67645 359 63675 338 20269 107 31518 167
314 181111 301 44 1 100881 335 110987 368 35074 116 47783 158
315 181112 368 37 2 92489 251 106158 288 52642 143 64005 173
316 181113 372 28 0 76888 206 87206 234 41291 110 59932 161
317 181114 373 37 3 83810 224 112269 300 67858 181 70875 190
318 181115 387 33 0 81847 211 96017 248 53356 137 75473 195
319 181116 374 50 1 130333 348 151810 405 54201 144 72623 194
320 181117 192 15 0 46786 243 46739 243 20303 105 31590 164
321 181118 303 45 1 88966 293 113387 374 50898 167 61944 204
322 181119 369 39 1 85356 231 121783 330 73839 200 79662 215
323 181120 359 25 0 82269 229 99432 276 47530 132 55478 154
324 181121 373 48 1 94460 253 125102 335 65497 175 75529 202
325 181122 383 28 1 90775 237 107966 281 51164 133 69679 181
326 181123 372 45 2 112441 302 126483 340 50134 134 74806 201
327 181124 178 13 0 42654 239 44143 247 17159 96 24383 136
328 181125 299 51 0 111225 371 131814 440 40764 136 61495 205
329 181126 357 52 2 115228 322 147599 413 64315 180 85106 238
330 181127 344 44 3 100968 293 139625 405 68993 200 78804 229
331 181128 372 70 6 136427 366 189887 510 85430 229 92023 247
332 181129 386 65 6 129728 336 177959 461 86788 224 104067 269
333 181130 361 43 3 106015 293 133006 368 56734 157 69732 193
334 181201 183 18 0 54291 296 52655 287 17974 98 29099 159
335 181202 291 61 14 114202 392 144727 497 53608 184 67093 230
336 181203 360 103 53 139087 386 244079 677 135979 377 138145 383
337 181204 347 69 3 145304 418 174222 502 52749 152 69861 201
338 181205 371 72 2 118811 320 164949 444 80168 216 91225 245
339 181206 369 170 116 377077 1021 566701 1535 211282 572 203194 550
